escola.nome;escola.latitude;escola.longitude;escola.região;escola.território
Escola municipal Luiz Gonzaga;-10,15669;-48,32812;NOROESTE;Kanela
Escola municipal Mestre Pacífico S. Campos;-10,15627;-48,34493;NOROESTE;Kanela
Escola municipal de T.I. Padre Josimo M. Tavares;-10,17024;-48,33538;NOROESTE;Kanela
Escola municipal Anne Frank;-10,17973;-48,31112;NORDESTE;Apinajé
Escola municipal Henrique Talone Pinheiro;-10,19480;-48,31044;SUDESTE;Apinajé
Escola municipal Antônio Carlos Jobim;-10,25720;-48,32097;SUDESTE;Krahô
Escola municipal de T.I. Margarida Gonçalves;-10,33109;-48,32005;SUDESTE;Xerente
Escola municipal Antônio G. de Carvalho Filho;-10,24967;-48,34050;SUDOESTE;Xambioá
Escola municipal Aurélio Buarque de Holanda;-10,24830;-48,33040;SUDESTE;Karajá
Escola municipal de T.I. Aprigio T. de Matos;-10,01821;-48,30944;RURAL;Pankararu
Escola municipal Crispim Pereira de Alencar;-10,31332;-48,15479;RURAL;Pankararu
Escola municipal de T.I. Daniel Batista;-10,16498;-48,30830;NORDESTE;Apinajé
Escola municipal Darcy Ribeiro;-10,23947;-48,32648;SUDESTE;Xambioá
Escola municipal Jorge Amado;-10,33269;-48,29775;SUL;Javaé
Escola municipal de T.I. João Beltrão;-10,24745;-48,24989;RURAL;Pankararu
Escola municipal de T.I. Luiz Nunes de Oliveira;-10,25178;-47,88823;RURAL;Pankararu
Escola municipal Maria Júlia Amorim Rodrigues;-10,32388;-48,32168;SUL;Xerente
Escola municipal Maria Rosa de Castro Sales;-10,33281;-48,28662;SUL;Javaé
Escola municipal de T.I. Monsenhor Pedro P. Piagem;-10,16826;-48,32233;NORDESTE;Apinajé
Escola municipal de T.I. Sueli Pereira A. Reche;-10,27894;-48,11242;RURAL;Pankararu
Escola municipal Thiago Barbosa;-10,24832;-48,33039;SUL;Karajá
Escola municipal de T.I. Euridice F. de Mello;-10,31233;-48,32081;SUL;Xerente
Escola municipal de T.I. Vinícius de Moraes;-10,24830;-48,33046;SUDESTE;Xambioá
Escola municipal Professor Sávia F. Jacome;-10,24797;-48,32927;SUDESTE;Krahô
Escola municipal de T.I. Caroline C. C. da Silva;-10,33187;-48,28746;SUL;Javaé
Escola municipal de T.I.Almirante Tamandare;-10,26598;-48,32345;SUL;Krahô
Escola municipal de T.I. Anisio Spenola Teixeira;-10,29633;-48,31456;SUL;Karajá
Escola Municipal de Tempo Integral Marcos Freire;-10,34182;-48,18673;RURAL;Pankararu
Escola Municipal Beatriz Rodrigues da Silva-2019;-10,16318;-48,34037;NOROESTE;Kanela
